,month,channel,visited_website,purchase_completed,conversion_rate
0,07-25,Email,2114,170,8.04162724692526
1,07-25,Organic,6288,441,7.013358778625954
2,07-25,Paid Ads,9222,614,6.657991758837563
3,07-25,Social,3123,212,6.788344540505924
4,08-25,Email,2074,172,8.293153326904532
5,08-25,Organic,6077,413,6.796116504854369
6,08-25,Paid Ads,9221,582,6.311679861186422
7,08-25,Social,3117,205,6.57683670195701
8,09-25,Email,2022,139,6.874381800197823
9,09-25,Organic,6053,418,6.905666611597555
10,09-25,Paid Ads,9100,658,7.230769230769231
11,09-25,Social,2992,209,6.985294117647059
12,10-25,Email,2097,158,7.534573199809251
13,10-25,Organic,6119,384,6.275535218172903
14,10-25,Paid Ads,9274,642,6.922579253827905
15,10-25,Social,3135,217,6.921850079744816
16,11-25,Email,1954,116,5.93654042988741
17,11-25,Organic,6053,421,6.95522881215926
18,11-25,Paid Ads,8897,585,6.5752500842980774
19,11-25,Social,3010,194,6.445182724252492
20,12-25,Email,1831,129,7.045330420535227
21,12-25,Organic,5356,371,6.926811053024645
22,12-25,Paid Ads,8177,538,6.579430108841873
23,12-25,Social,2694,193,7.16406829992576
